node ID: 2302, ground truth SMILE: C1=CC=C(C(=C1)C(=O)O)C(=O)O
smiles: CCNC1=NC(=NC(=N1)OCC)NC(C)C, s:  0.00044
smiles: CCCCNC1=NC(=NC(=N1)NCC)OC, s:  0.00041
smiles: CCNC1=NC(=NC(=N1)COC)NC(C)C, s:  0.00041
smiles: CCCNC1=NC(=NC(=N1)OC)NCCC, s:  0.00040
smiles: CCNC1=NC(=NC(=N1)OC)NC(C)(C)C, s:  0.00040
smiles: CCC(C(C)C)NC1=NC(=NC(=N1)N)OC, s:  0.00039
node ID: 5330, ground truth SMILE: CCNC1=NC(=NC(=N1)SC)NC(C)C
top 10 test cadidates: 
smiles: CCNC1=NC(=NC(=N1)SC)NC(C)C, s:  0.00247
smiles: CCNC1=NC(=NC(=N1)CS)NC(C)C, s:  0.00246
smiles: CCNC1=NC(=NC(=N1)C(C)S)NCC, s:  0.00191
smiles: CCSC1=NC(=NC(=N1)NC(C)C)NC, s:  0.00175
smiles: CCCNC1=NC(=NC(=N1)NCC)SC, s:  0.00174
smiles: CCNC1=NC(=NC(=N1)SCC)NCC, s:  0.00172
smiles: CC(C)NC1=NC=NC(=N1)NCCSC, s:  0.00172
smiles: CCN=C1NC(N(C(=N1)C2CC2)N)SC, s:  0.00165
smiles: CC(C)CNC(=S)NCCN1C=CN=N1, s:  0.00163
smiles: CCCCNC(=S)NC(C)C1=NC=NN1, s:  0.00163
node ID: 5423, ground truth SMILE: CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C
top 10 test cadidates: 
smiles: CCC(C)NC1=NC(=NC(=N1)NCC)Cl, s:  0.00501
smiles: CCCNC1=NC(=NC(=N1)Cl)NC(C)C, s:  0.00479
smiles: CC(C)NC1=NC(=NC(=N1)Cl)NC(C)C, s:  0.00470
smiles: CCNC1=NC(=NC(=N1)Cl)NCC(C)C, s:  0.00466
smiles: CCNC1=NC(=NC(=N1)CCl)NC(C)C, s:  0.00452
smiles: CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C, s:  0.00401
smiles: CCCCNC1=NC(=NC(=N1)NCC)Cl, s:  0.00401
smiles: CCNC1=NC(=NC(=N1)Cl)N(C)C(C)C, s:  0.00375
smiles: CCN(C)C1=NC(=NC(=N1)NC(C)C)Cl, s:  0.00370
